item,field,raw_value,assigned_id,instances,verdict,matched_id
348,Treatment,SAR-245408 0.37µM,OOV-X-C057547F97,55,appropriate,
349,Condition,lesion,OOV-C-E74901BEAC,87,appropriate,
350,Treatment,CP466722 10µM,OOV-X-85BB9C5077,57,appropriate,
351,Tissue,HNSCC tumor,OOV-T-4F8CF8B1AE,63,appropriate,
352,Tissue,SBAD2 iPS cells,OOV-T-F4E7B94D31,222,indeterminate,
353,Condition,Lung cancer Large Cell Neuroendocrine,OOV-C-4AE546029E,53,inappropriate,D018278
354,Tissue,iPSC-MN,OOV-T-9ABA1142A2,60,inappropriate,D009046
355,Treatment,scramble,OOV-X-A9620BF57B,61,appropriate,
356,Treatment,R-CHOP 21,OOV-X-176D671C36,184,appropriate,
357,Treatment,PFDN2 2µL,OOV-X-4B8F4B1252,90,appropriate,
358,Treatment,NVP-AUY922 1.11µM,OOV-X-A3EB5B3A30,57,appropriate,
359,Condition,JIA Systemic Onset,OOV-C-C9BBA3E319,104,inappropriate,D001171
360,Condition,former smoker,OOV-C-E223A4BF03,72,appropriate,
361,Treatment,enzastaurin 1.11µM,OOV-X-65DF60B727,56,appropriate,
362,Treatment,radicicol 1.11µM,OOV-X-79105C5FF2,136,appropriate,
363,Treatment,vector 101,OOV-X-BBAA528A29,113,appropriate,
364,Treatment,YM-201636 10µM,OOV-X-3581EB94A0,54,appropriate,
365,Treatment,PIK-93 1.11µM,OOV-X-C5189919AF,57,appropriate,
366,Treatment,KEAP1,ART-X-14312,101,appropriate,
367,Treatment,radicicol 0.12µM,OOV-X-4B6F0FD394,135,appropriate,
368,Treatment,JNK-9L 10µM,OOV-X-2B3B3BB5EF,72,appropriate,
369,Condition,flare,OOV-C-2EB5819F7F,95,appropriate,
370,Treatment,oral corticosteroid use: yes,OOV-X-5C0741209F,93,appropriate,
371,Treatment,FTC/TDF,OOV-X-968844E824,83,appropriate,
372,Tissue,Wilms tumour,OOV-T-D2E8AA8FEA,52,appropriate,
373,Treatment,radicicol 10µM,OOV-X-B7EA0ECA8C,138,appropriate,
374,Tissue,plasmablast,OOV-T-960D08122B,57,inappropriate,D010950
375,Tissue,Leukemic peripheral blood,OOV-T-26BC443076,62,inappropriate,D001769
376,Condition,Sporadic cancer; Breast Cancer,OOV-C-E44F3F6686,52,inappropriate,D001943
377,Tissue,CD8+ T-Cell,OOV-T-58C92E7169,56,inappropriate,D018414
378,Tissue,Synovial tissue,OOV-T-F216CDEF9D,101,inappropriate,D013583
379,Treatment,TG-101348 1.11µM,OOV-X-18C4D49CE4,54,appropriate,
380,Tissue,amniocytes,OOV-T-A334A5A075,51,inappropriate,D000650
382,Tissue,colorectal Adenocarcinoma,OOV-T-C13351A10E,566,appropriate,
383,Treatment,SAR-245408 10µM,OOV-X-E8DDE68334,54,appropriate,
384,Treatment,CGP-60474 10µM,OOV-X-3D0378B6D0,179,appropriate,
385,Condition,Untreated,OOV-C-8E80DD0EE8,52,appropriate,
386,Treatment,GW-843682X 0.12µM,OOV-X-9C230F85D7,75,appropriate,
388,Condition,HCV replicon,OOV-C-8201248C13,59,appropriate,
389,Treatment,saracatinib 0.04µM,OOV-X-9C96FF02AD,113,appropriate,
390,Tissue,lung adenocarcinomas,OOV-T-5018C60CFD,78,appropriate,
391,Treatment,asa_dosis: 81; plaquenil: 1,OOV-X-D5B493479F,51,appropriate,
392,Treatment,SB590885 1.11µM,OOV-X-97F01919F0,56,appropriate,
393,Tissue,CD4+ T-Cell,OOV-T-DD6B564FF3,59,inappropriate,D015496
395,Condition,HDM,ART-C-04107,99,appropriate,
396,Tissue,CD138 purified myeloma plasma cells,OOV-T-1019C24E58,490,inappropriate,D010950
397,Tissue,Nasopharyngeal swabs,OOV-T-683E61D4C0,166,inappropriate,D009305
398,Treatment,GA,ART-X-22800,76,indeterminate,
399,Condition,normal fibroblasts,OOV-C-417492FB26,59,appropriate,
400,Condition,ATL,ART-C-02475,61,inappropriate,D015459
401,Treatment,rsv,OOV-X-792E8583EC,51,appropriate,
402,Treatment,AKT-inhibitor-1-2 0.04µM,OOV-X-792891A73F,54,appropriate,
403,Treatment,TG-101348 10µM,OOV-X-31BB8BC974,56,appropriate,
404,Treatment,TWS-119 0.12µM,OOV-X-2A5E3E93B0,55,appropriate,
405,Treatment,CP-724714 0.04µM,OOV-X-22A0AF6656,53,appropriate,
406,Tissue,buccal swab,OOV-T-95BACCF202,190,inappropriate,D009061
407,Treatment,EGFR; 2µL,OOV-X-812F1D3697,79,appropriate,
408,Treatment,smoker,OOV-X-6D9285066E,378,appropriate,
409,Condition,CEES exposure,OOV-C-6C5A839A55,162,appropriate,
410,Treatment,LDN-193189 0.04µM,OOV-X-FB61F59C06,58,appropriate,
411,Treatment,IFN,ART-X-03417,59,inappropriate,D007372
412,Treatment,WZ-4-145 0.12µM,OOV-X-C27C15F262,73,appropriate,
414,Treatment,trichostatin,OOV-X-EEA148F52A,64,appropriate,
415,Treatment,mid proliferative cycle stage,OOV-X-83F9AFAC28,79,appropriate,
416,Treatment,Definite Bacterial infection,OOV-X-41BB4C41AF,55,appropriate,
417,Tissue,CD14+ cells,OOV-T-9B2E20067A,194,inappropriate,D009000
418,Tissue,lesion,OOV-T-BDBCED37BE,72,appropriate,
420,Treatment,GSK-1904529A 0.37µM,OOV-X-3A93F7C537,70,appropriate,
421,Treatment,XMD11-85H 0.37µM,OOV-X-5A0DC4D2DD,64,appropriate,
422,Tissue,neuronal progenitor cells,OOV-T-3EF6864093,2072,inappropriate,D058953
423,Condition,Non-tumor,OOV-C-8F4BC153BC,57,appropriate,
424,Tissue,peripheral NK cells,OOV-T-7AC5AD8083,69,inappropriate,D007694
425,Treatment,dovitinib 1.11µM,OOV-X-7F27C885DA,54,appropriate,
426,Condition,early stage CRC,OOV-C-8C7EA0719C,56,inappropriate,D015179
427,Tissue,human myeloma cell,OOV-T-E5A471AE7A,331,appropriate,
428,Tissue,endometrial cancer tissue,OOV-T-B423AB1B6B,160,appropriate,
429,Condition,Non-involved (apparently normal),OOV-C-F41CF6FC18,303,appropriate,
430,Condition,normal prostate,OOV-C-5C1E87EC6C,81,appropriate,
431,Treatment,PHA-793887 0.12µM,OOV-X-CA12F45AC2,72,appropriate,
432,Condition,Normal kidney tissue,OOV-C-27FECAC37E,53,appropriate,
433,Tissue,CRC tumor,OOV-T-C5800BB7BD,484,appropriate,
434,Tissue,CD19-enriched CLL patient sample,OOV-T-57DE82B1D8,300,appropriate,
435,Tissue,descendens,OOV-T-006A2174EF,53,appropriate,
436,Tissue,tubulo interstitium from kidney biopsy,OOV-T-FCC1F559E3,173,inappropriate,D007684
437,Treatment,olaparib 0.37µM,OOV-X-F180E9BD65,77,appropriate,
438,Treatment,MK-2206 3.33µM,OOV-X-644E0D259D,71,appropriate,
439,Tissue,large B-cell lymphoma tissue,OOV-T-8ED3E2829B,180,appropriate,
440,Treatment,Young agegroup,OOV-X-360782D973,110,appropriate,
441,Condition,Prostate,OOV-C-11325FA98B,180,appropriate,
442,Tissue,lymphoblastoid cell lines,OOV-T-E3103FC62D,139,appropriate,
443,Tissue,Colorectal cancer,OOV-T-4AEBAD3347,59,appropriate,
444,Condition,LM CRC,OOV-C-0230A8117F,529,inappropriate,D015179
445,Condition,definite AD,OOV-C-560261BC69,362,inappropriate,D000544
446,Condition,Normal mucosa,OOV-C-6A4944D94D,64,appropriate,
447,Treatment,PD-173074 0.37µM,OOV-X-73CE9266CF,72,appropriate,
448,Tissue,Melanoma,OOV-T-BE6317CA42,164,appropriate,
449,Treatment,GDC-0941 3.33µM,OOV-X-D606F69CC3,73,appropriate,
450,Treatment,relapse 1,OOV-X-156E1E3E06,229,appropriate,
451,Tissue,CD3+ T-cells,OOV-T-72122F77EB,76,inappropriate,D013601
452,Treatment,PIK-93 3.33µM,OOV-X-DFEF30E387,58,appropriate,
453,Condition,Term,OOV-C-82479B599D,70,appropriate,
454,Tissue,HNSCC,ART-T-00178,176,appropriate,
455,Tissue,CRC PDX,OOV-T-0CDF74619F,119,appropriate,
456,Condition,AML,ART-C-00163,3494,inappropriate,D015470
457,Treatment,AZD-8330 3.33µM,OOV-X-317020ADD1,56,appropriate,
458,Condition,SCLC,ART-C-00711,180,inappropriate,D055752
459,Condition,Prostate_Adenocarcinoma,OOV-C-990479A14D,64,inappropriate,D011471
460,Tissue,Pediatric B-Precursor High-Risk Acute Lymphoblastic Leukemia,OOV-T-B0176C1902,283,appropriate,
461,Condition,B-cell acute lymphoblastic leukemia,OOV-C-9DD6B0D353,65,inappropriate,D015452
462,Treatment,TGX-221 10µM,OOV-X-3A2B6A379B,54,appropriate,
463,Condition,Myeloma,OOV-C-BC649C6F57,177,inappropriate,D009101
464,Tissue,UPN727 cells,OOV-T-B1A1523325,978,indeterminate,
465,Treatment,healthy healthy_vs_disease,OOV-X-C0C2D6A301,154,appropriate,
466,Condition,healthy volunteer,OOV-C-CDFF8C0428,800,appropriate,
467,Tissue,MSC,ART-T-00193,88,inappropriate,D059630
468,Treatment,MK-2206 0.12µM,OOV-X-3D3811AAD4,72,appropriate,
469,Condition,OPSCC Case,OOV-C-60F42B80EC,152,inappropriate,D009959
470,Condition,CLAD,ART-C-02519,90,appropriate,
471,Tissue,transbronchial biopsy,OOV-T-228FEAE9BF,205,appropriate,
472,Treatment,brivanib 0.37µM,OOV-X-D5B5B9C1A8,53,appropriate,
473,Tissue,GBM tumor,OOV-T-C08D0DD234,99,appropriate,
474,Treatment,entry clinical status,OOV-X-2E18B1423E,50,appropriate,
475,Tissue,clear cell renal cell carcinoma,OOV-T-BD2BC85C25,306,appropriate,
476,Treatment,veliparib 1.11µM,OOV-X-3C182F6D99,78,appropriate,
477,Tissue,chondrosarcoma,OOV-T-5951B58194,50,appropriate,
478,Treatment,CIMP+ status,OOV-X-51AE83E82B,85,appropriate,
479,Treatment,GTU-MultiHIV B / MVA HIV-B,OOV-X-0502FFD5D0,110,appropriate,
480,Condition,tumour,OOV-C-0F87DACC0D,467,inappropriate,D009369
481,Treatment,PLKO,ART-X-05771,70,appropriate,
482,Tissue,Malignant glioma clone,OOV-T-FD9ED08241,134,appropriate,
483,Condition,colon cancer mouse xenograft,OOV-C-F16E7457A3,57,inappropriate,D003110
484,Treatment,SIVmac251,OOV-X-CA01637C0B,572,appropriate,
485,Condition,adjacent normal tissue,OOV-C-DE5C934BC0,109,appropriate,
486,Tissue,VDH15 oral carcinoma cell line,OOV-T-ABA3F1B2AF,97,indeterminate,
487,Treatment,exercise,OOV-X-7B181D2BB4,110,appropriate,
488,Condition,normal kidney,OOV-C-B2A38A8C0D,78,appropriate,
489,Treatment,JW-7-24-1 0.37µM,OOV-X-9B919CEC43,66,appropriate,
490,Treatment,AT-7519 0.37µM,OOV-X-D3AE8BC206,73,appropriate,
491,Treatment,MRKAd5/HIV,OOV-X-7970A71B59,64,appropriate,
492,Treatment,High dose,OOV-X-65ABFF9FBF,160,appropriate,
493,Treatment,MVA85A vaccination,OOV-X-E7AE104590,85,appropriate,
494,Treatment,MDM2,ART-X-22088,56,appropriate,
495,Condition,preterm delivery,OOV-C-0E13B044D9,52,inappropriate,D047928
496,Treatment,enzastaurin 10µM,OOV-X-BF4AC464D3,57,appropriate,
497,Treatment,third vaccination,OOV-X-B5C0576515,89,appropriate,
498,Treatment,FOLFOX,OOV-X-094DED40D3,57,appropriate,
499,Treatment,fostamatinib 0.37µM,OOV-X-978D95016A,71,appropriate,
500,Treatment,PIK-93 0.37µM,OOV-X-FEAB9E53E0,53,appropriate,
