gsm,gse,raw_Tissue,matched_cellline,cvcl,cellosaurus_donor_sex,extracted_Sex
GSM1251833,GSE51739,T-24 cell line,MKN1,CVCL_1415,Male,Female
GSM1251837,GSE51739,NIH:OVCAR-3 cell line,MKN1,CVCL_1415,Male,Female
GSM1251842,GSE51739,Saos-2 cell line,MKN1,CVCL_1415,Male,Female
GSM1017466,GSE41445,Skin; HaCaT,Skin; HaCaT,CVCL_0038,Male,Female
GSM1017468,GSE41445,Skin; HaCaT,Skin; HaCaT,CVCL_0038,Male,Female
GSM981286,GSE17312,IPS cell line 20b,18b,CVCL_8994,Female,Male
GSM3444423,GSE121718,LN229,LN-229,CVCL_0393,Female,Male
GSM3444424,GSE121718,LN229,LN-229,CVCL_0393,Female,Male
GSM3444425,GSE121718,LN229,LN-229,CVCL_0393,Female,Male
GSM3444426,GSE121718,LN229,LN-229,CVCL_0393,Female,Male
GSM3444427,GSE121718,LN229,LN-229,CVCL_0393,Female,Male
GSM1110846,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110847,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110848,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110849,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110850,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110851,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110852,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110853,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110854,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110855,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110856,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110857,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110858,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110859,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110860,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110861,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110862,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110863,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110864,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110865,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110866,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110867,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110868,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110869,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110870,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110871,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110872,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110873,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110874,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110875,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110876,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110877,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM1110878,GSE45626,NCI-H526,NCI-H526,CVCL_1569,Male,Female
GSM492616,GSE19722,LN,GM02063,CVCL_F127,Male,Female
GSM2462008,GSE93776,NK,Novikoff-Hepatoma,CVCL_1D01,Male,Female
GSM2462009,GSE93776,NK,Novikoff-Hepatoma,CVCL_1D01,Male,Female
GSM2462010,GSE93776,NK,Novikoff-Hepatoma,CVCL_1D01,Male,Female
GSM2462011,GSE93776,NK,Novikoff-Hepatoma,CVCL_1D01,Male,Female
GSM2462012,GSE93776,NK,Novikoff-Hepatoma,CVCL_1D01,Male,Female
GSM2462013,GSE93776,NK,Novikoff-Hepatoma,CVCL_1D01,Male,Female
GSM2462015,GSE93776,NK,Novikoff-Hepatoma,CVCL_1D01,Male,Female
GSM2462017,GSE93776,NK,Novikoff-Hepatoma,CVCL_1D01,Male,Female
GSM2462018,GSE93776,NK,Novikoff-Hepatoma,CVCL_1D01,Male,Female
GSM2462019,GSE93776,NK,Novikoff-Hepatoma,CVCL_1D01,Male,Female
GSM2462020,GSE93776,NK,Novikoff-Hepatoma,CVCL_1D01,Male,Female
GSM4422979,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422980,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422981,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422982,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422983,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422984,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422985,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422986,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422987,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422988,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422989,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422990,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422991,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422992,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422993,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422994,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422995,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422996,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422997,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422998,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4422999,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423000,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423001,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423002,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423003,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423004,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423005,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423006,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423007,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423008,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423009,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423010,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423011,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423012,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423013,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423014,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423015,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423016,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423017,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423018,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423019,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423020,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423021,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423022,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423023,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423024,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423025,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423026,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423027,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423028,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423029,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423030,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423031,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423032,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423033,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423034,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423035,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423036,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423037,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423038,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423039,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423040,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423041,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423042,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423043,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423044,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423045,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423047,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423048,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423049,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423050,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423051,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423052,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423053,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423054,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423055,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423057,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423059,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423060,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423061,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423062,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423063,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423064,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423065,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423066,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423067,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423068,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423069,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423070,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423071,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423072,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423073,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423074,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423075,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423076,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423077,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423078,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423079,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423080,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423081,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423082,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423083,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423084,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423085,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423086,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423087,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423088,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423089,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423090,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423091,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423092,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423093,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423094,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423095,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423096,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423097,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423098,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423099,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423100,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423101,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423102,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423103,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423104,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423105,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423106,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423107,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423108,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423109,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423110,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423111,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423112,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423113,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423114,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423115,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423116,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423117,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM4423118,GSE147270,H9 human embryonic stem cells,H9,CVCL_1240,Male,Female
GSM259087,GSE10258,BM,BH,CVCL_E481,Female,Male
GSM259094,GSE10258,BM,BH,CVCL_E481,Female,Male
GSM259097,GSE10258,BM,BH,CVCL_E481,Female,Male
GSM259098,GSE10258,BM,BH,CVCL_E481,Female,Male
GSM259099,GSE10258,BM,BH,CVCL_E481,Female,Male
GSM259101,GSE10258,BM,BH,CVCL_E481,Female,Male
GSM456346,GSE18269,HepG2,Hep-G2,CVCL_0027,Male,Female
GSM456347,GSE18269,HepG2,Hep-G2,CVCL_0027,Male,Female
GSM456348,GSE18269,HepG2,Hep-G2,CVCL_0027,Male,Female
GSM1113826,GSE45758,Hs766T,Hs 766T,CVCL_0334,Male,Female
GSM1113827,GSE45758,Hs766T,Hs 766T,CVCL_0334,Male,Female
GSM1113812,GSE45758,MIAPaCa-2,MIA PaCa-2,CVCL_0428,Male,Female
GSM1113813,GSE45758,MIAPaCa-2,MIA PaCa-2,CVCL_0428,Male,Female
GSM1113814,GSE45758,MIAPaCa-2,MIA PaCa-2,CVCL_0428,Male,Female
GSM1113816,GSE45758,MIAPaCa-2,MIA PaCa-2,CVCL_0428,Male,Female
GSM1113817,GSE45758,MIAPaCa-2,MIA PaCa-2,CVCL_0428,Male,Female
GSM1113815,GSE45758,PL45,PL45,CVCL_3567,Male,Female
GSM1113818,GSE45758,PL45,PL45,CVCL_3567,Male,Female
GSM1113819,GSE45758,PL45,PL45,CVCL_3567,Male,Female
GSM101931,GSE4561,human colon cancer cells (HT-29 parental cells),HT-29,CVCL_0320,Female,Male
GSM101932,GSE4561,human colon cancer cells (HT-29 parental cells),HT-29,CVCL_0320,Female,Male
GSM101933,GSE4561,human colon cancer cells (HT-29 parental cells),HT-29,CVCL_0320,Female,Male
GSM1081583,GSE44270,Keloid fibroblast,KEL FIB,CVCL_3730,Female,Male
GSM1081584,GSE44270,Keloid fibroblast,KEL FIB,CVCL_3730,Female,Male
GSM1081586,GSE44270,Keloid fibroblast,KEL FIB,CVCL_3730,Female,Male
GSM1081587,GSE44270,Keloid fibroblast,KEL FIB,CVCL_3730,Female,Male
GSM1081590,GSE44270,Keloid fibroblast,KEL FIB,CVCL_3730,Female,Male
GSM1313973,GSE54369,U87MG,U-87MG ATCC,CVCL_0022,Male,Female
GSM1313974,GSE54369,U87MG,U-87MG ATCC,CVCL_0022,Male,Female
GSM1313975,GSE54369,U87MG,U-87MG ATCC,CVCL_0022,Male,Female
GSM1313976,GSE54369,U87MG,U-87MG ATCC,CVCL_0022,Male,Female
GSM134160,GSE5949,MDA-N,MDA-N,CVCL_1910,Male,Female
GSM134161,GSE5949,MDA-N,MDA-N,CVCL_1910,Male,Female
GSM134162,GSE5949,MDA-N,MDA-N,CVCL_1910,Male,Female
GSM134163,GSE5949,MDA-N,MDA-N,CVCL_1910,Male,Female
GSM134164,GSE5949,MDA-N,MDA-N,CVCL_1910,Male,Female
GSM133571,GSE5720,MDA-MB435,MDA-MB-435,CVCL_0417,Male,Female
