gsm,gse,raw_Tissue,matched_cellline,cvcl,cellosaurus_organism
GSM2872752,GSE107624,Nasal Mucosa; BSC,Nasal Mucosa; BSC,CVCL_M116,Rattus norvegicus
GSM2872755,GSE107624,Nasal Mucosa; BSC,Nasal Mucosa; BSC,CVCL_M116,Rattus norvegicus
GSM2872756,GSE107624,Nasal Mucosa; BSC,Nasal Mucosa; BSC,CVCL_M116,Rattus norvegicus
GSM4192084,GSE140996,W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM4192085,GSE140996,W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM4192087,GSE140996,W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906487,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906488,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906489,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906490,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906491,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906492,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906493,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906494,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906495,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906496,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906497,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906498,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906499,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906500,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906501,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906502,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906503,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906504,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906505,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906506,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1906507,GSE73935,primary ovarian cancer W1,CME W1,CVCL_Z789,Drosophila melanogaster
GSM1361654,GSE56445,MDA-MB-231-LM2-4,LM2,CVCL_5V02,Mus musculus
GSM1361655,GSE56445,MDA-MB-231-LM2-4,LM2,CVCL_5V02,Mus musculus
GSM1361656,GSE56445,MDA-MB-231-LM2-4,LM2,CVCL_5V02,Mus musculus
GSM1361648,GSE56445,MDA-MB-231-LM2-4,LM2,CVCL_5V02,Mus musculus
GSM1361649,GSE56445,MDA-MB-231-LM2-4,LM2,CVCL_5V02,Mus musculus
GSM1361650,GSE56445,MDA-MB-231-LM2-4,LM2,CVCL_5V02,Mus musculus
GSM1361651,GSE56445,MDA-MB-231-LM2-4,LM2,CVCL_5V02,Mus musculus
GSM1361652,GSE56445,MDA-MB-231-LM2-4,LM2,CVCL_5V02,Mus musculus
GSM1361653,GSE56445,MDA-MB-231-LM2-4,LM2,CVCL_5V02,Mus musculus
GSM1361645,GSE56445,MDA-MB-231-LM2-4,LM2,CVCL_5V02,Mus musculus
GSM1361646,GSE56445,MDA-MB-231-LM2-4,LM2,CVCL_5V02,Mus musculus
GSM1361647,GSE56445,MDA-MB-231-LM2-4,LM2,CVCL_5V02,Mus musculus
GSM2539353,GSE96743,1205Lu,BLT-1,CVCL_U445,Mus musculus
GSM1649360,GSE67549,A32.4,USP-1,CVCL_Z290,Mus musculus
GSM1649361,GSE67549,A32.4 cell line,USP-1,CVCL_Z290,Mus musculus
GSM2177168,GSE81898,H1 huES cells,H-1,CVCL_N541,Mus musculus
GSM2177169,GSE81898,H1 huES cells,H-1,CVCL_N541,Mus musculus
GSM3120903,GSE113834,Prefrontal Cortex BA8/9,BA8,CVCL_F0HL,Mus musculus
GSM3120904,GSE113834,Prefrontal Cortex BA8/9,BA8,CVCL_F0HL,Mus musculus
GSM3120905,GSE113834,Prefrontal Cortex BA8/9,BA8,CVCL_F0HL,Mus musculus
GSM3120906,GSE113834,Prefrontal Cortex BA8,BA8,CVCL_F0HL,Mus musculus
GSM3120907,GSE113834,Prefrontal Cortex BA8,BA8,CVCL_F0HL,Mus musculus
GSM3120908,GSE113834,Prefrontal Cortex BA8,BA8,CVCL_F0HL,Mus musculus
GSM3120909,GSE113834,Prefrontal Cortex BA8/9,BA8,CVCL_F0HL,Mus musculus
GSM3120910,GSE113834,Prefrontal Cortex BA8/9,BA8,CVCL_F0HL,Mus musculus
GSM3120911,GSE113834,Prefrontal Cortex BA8/9,BA8,CVCL_F0HL,Mus musculus
GSM3120912,GSE113834,Prefrontal Cortex BA8/9,BA8,CVCL_F0HL,Mus musculus
GSM3120913,GSE113834,Prefrontal Cortex BA8/9,BA8,CVCL_F0HL,Mus musculus
GSM3120914,GSE113834,Prefrontal Cortex BA8/9,BA8,CVCL_F0HL,Mus musculus
GSM3120921,GSE113834,Prefrontal Cortex BA8/9,BA8,CVCL_F0HL,Mus musculus
GSM3120922,GSE113834,Prefrontal Cortex BA8/9,BA8,CVCL_F0HL,Mus musculus
GSM3120923,GSE113834,Prefrontal Cortex BA8/9,BA8,CVCL_F0HL,Mus musculus
GSM3120924,GSE113834,Prefrontal Cortex BA8,BA8,CVCL_F0HL,Mus musculus
GSM3120925,GSE113834,Prefrontal Cortex BA8,BA8,CVCL_F0HL,Mus musculus
GSM3120926,GSE113834,Prefrontal Cortex BA8,BA8,CVCL_F0HL,Mus musculus
GSM921460,GSE37547,Corrected HD-iPSC line C127,C127,CVCL_6550,Mus musculus
GSM4216251,GSE141914,MC-4,MC3T3-E1 Subclone 4,CVCL_5440,Mus musculus
GSM4216252,GSE141914,MC-4,MC3T3-E1 Subclone 4,CVCL_5440,Mus musculus
GSM1639705,GSE67125,LM5 cell line,LM5,CVCL_C3BJ,Rattus norvegicus
GSM2443029,GSE93054,GSC,GSC,CVCL_M752,Epinephelus akaara
GSM2443028,GSE93054,brain; GSC,Brain; GSC,CVCL_M752,Epinephelus akaara
GSM2443031,GSE93054,GSC,GSC,CVCL_M752,Epinephelus akaara
GSM2443030,GSE93054,brain; GSC,Brain; GSC,CVCL_M752,Epinephelus akaara
GSM1606623,GSE65806,HSC-F macaca fasicularis immortalized CD4+ T cell line,HSC-F,CVCL_5485,Macaca fascicularis
GSM1606624,GSE65806,HSC-F macaca fasicularis immortalized CD4+ T cell line,HSC-F,CVCL_5485,Macaca fascicularis
GSM1606625,GSE65806,HSC-F macaca fasicularis immortalized CD4+ T cell line,HSC-F,CVCL_5485,Macaca fascicularis
GSM1606629,GSE65806,HSC-F CD4+ T cell line,HSC-F,CVCL_5485,Macaca fascicularis
GSM1606630,GSE65806,HSC-F,HSC-F,CVCL_5485,Macaca fascicularis
GSM1606631,GSE65806,HSC-F CD4+ T cell line,HSC-F,CVCL_5485,Macaca fascicularis
GSM1606626,GSE65806,HSC-F CD4+ T cell line,HSC-F,CVCL_5485,Macaca fascicularis
GSM1606627,GSE65806,HSC-F CD4+ T cell line,HSC-F,CVCL_5485,Macaca fascicularis
GSM1606628,GSE65806,HSC-F CD4+ T cell line,HSC-F,CVCL_5485,Macaca fascicularis
GSM2849369,GSE106721,CA2 embryonic stem cells,CA2,CVCL_E5RM,Mus musculus
GSM2849368,GSE106721,CA2 embryonic stem cells,CA2,CVCL_E5RM,Mus musculus
GSM2849365,GSE106721,CA2 embryonic stem cells,CA2,CVCL_E5RM,Mus musculus
GSM2849366,GSE106721,CA2 embryonic stem cells,CA2,CVCL_E5RM,Mus musculus
GSM2849367,GSE106721,CA2 embryonic stem cells,CA2,CVCL_E5RM,Mus musculus
GSM6755364,GSE218705,Hap1,HAP-1,CVCL_5G07,Mus musculus
GSM6755365,GSE218705,Hap1,HAP-1,CVCL_5G07,Mus musculus
GSM6755362,GSE218705,Hap1 cell line,HAP-1,CVCL_5G07,Mus musculus
GSM6755363,GSE218705,Hap1 cell line,HAP-1,CVCL_5G07,Mus musculus
GSM2849460,GSE106726,C46,C-1300 clone C46,CVCL_VU15,Mus musculus
GSM2849461,GSE106726,C46,C-1300 clone C46,CVCL_VU15,Mus musculus
GSM2068775,GSE78174,Chronic lymphocytic leukemia cell line MEC-1,GM-20,CVCL_F939,Mus musculus
GSM2068776,GSE78174,Chronic lymphocytic leukemia cell line MEC-1,GM-20,CVCL_F939,Mus musculus
GSM2068777,GSE78174,Chronic lymphocytic leukemia cell line MEC-1,GM-20,CVCL_F939,Mus musculus
GSM2068778,GSE78174,Chronic lymphocytic leukemia cell line MEC-1,GM-20,CVCL_F939,Mus musculus
GSM2068779,GSE78174,MEC-1,GM-20,CVCL_F939,Mus musculus
GSM2068780,GSE78174,MEC-1,GM-20,CVCL_F939,Mus musculus
GSM2068781,GSE78174,MEC-1,GM-20,CVCL_F939,Mus musculus
GSM2068782,GSE78174,MEC-1,GM-20,CVCL_F939,Mus musculus
GSM2068783,GSE78174,MEC-1,GM-20,CVCL_F939,Mus musculus
GSM2069578,GSE78207,chronic lymphocytic leukemia cell line MEC-1,GM-20,CVCL_F939,Mus musculus
GSM2069579,GSE78207,chronic lymphocytic leukemia cell line MEC-1,GM-20,CVCL_F939,Mus musculus
GSM2069580,GSE78207,chronic lymphocytic leukemia cell line MEC-1,GM-20,CVCL_F939,Mus musculus
GSM2069581,GSE78207,MEC-1,GM-20,CVCL_F939,Mus musculus
GSM2069582,GSE78207,MEC-1,GM-20,CVCL_F939,Mus musculus
GSM2069583,GSE78207,MEC-1,GM-20,CVCL_F939,Mus musculus
GSM1143120,GSE47026,Human Mad2 and Max,MAD2,CVCL_E5I5,Mus musculus
GSM1208292,GSE49855,C2C12,C2C12,CVCL_0188,Mus musculus
GSM1208293,GSE49855,C2C12,C2C12,CVCL_0188,Mus musculus
GSM4042094,GSE136172,J-Lat 5A8 Cells,CPTC-SVIL-3,CVCL_YI19,Mus musculus
GSM4042095,GSE136172,J-Lat 5A8 Cells,CPTC-SVIL-3,CVCL_YI19,Mus musculus
GSM4042096,GSE136172,J-Lat 5A8 Cells,CPTC-SVIL-3,CVCL_YI19,Mus musculus
GSM4042097,GSE136172,J-Lat 5A8 Cells,CPTC-SVIL-3,CVCL_YI19,Mus musculus
GSM4042098,GSE136172,J-Lat 5A8 Cells,CPTC-SVIL-3,CVCL_YI19,Mus musculus
GSM4042099,GSE136172,J-Lat 5A8 Cells,CPTC-SVIL-3,CVCL_YI19,Mus musculus
GSM4042100,GSE136172,J-Lat 5A8 Cells,CPTC-SVIL-3,CVCL_YI19,Mus musculus
GSM4042101,GSE136172,J-Lat 5A8 Cells,CPTC-SVIL-3,CVCL_YI19,Mus musculus
GSM4042102,GSE136172,J-Lat 5A8 Cells,CPTC-SVIL-3,CVCL_YI19,Mus musculus
GSM4042103,GSE136172,J-Lat 5A8 Cells,CPTC-SVIL-3,CVCL_YI19,Mus musculus
GSM4042104,GSE136172,J-Lat 5A8 Cells,CPTC-SVIL-3,CVCL_YI19,Mus musculus
GSM4042105,GSE136172,J-Lat 5A8 Cells,CPTC-SVIL-3,CVCL_YI19,Mus musculus
GSM1638619,GSE67088,YDFR.SL3,Schneider 3,CVCL_Z233,Drosophila melanogaster
GSM1638620,GSE67088,YDFR.SL3,Schneider 3,CVCL_Z233,Drosophila melanogaster
GSM2045730,GSE77191,CML-1,CML-1,CVCL_0D19,Canis lupus familiaris
GSM2405938,GSE90518,C6,C40210,CVCL_1G35,Pan troglodytes
GSM4386244,GSE146462,CPG,CPG,CVCL_1G78,Channa punctata
GSM2199306,GSE83310,differentiated AT2 cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM1516040,GSE61871,OP9-GFP,OP9/G,CVCL_B217,Mus musculus
GSM1516041,GSE61871,OP9-GFP,OP9/G,CVCL_B217,Mus musculus
GSM1516042,GSE61871,OP9-GFP,OP9/G,CVCL_B217,Mus musculus
GSM1516043,GSE61871,OP9-GFP,OP9/G,CVCL_B217,Mus musculus
GSM554355,GSE22278,927,927,CVCL_B5N6,Mus musculus;Rattus norvegicus
GSM6736639,GSE218214,CAF,CAF,CVCL_R883,Carassius auratus
GSM6736640,GSE218214,CAF,CAF,CVCL_R883,Carassius auratus
GSM6736641,GSE218214,CAF,CAF,CVCL_R883,Carassius auratus
GSM6736642,GSE218214,CAF,CAF,CVCL_R883,Carassius auratus
GSM6736643,GSE218214,CAF,CAF,CVCL_R883,Carassius auratus
GSM6736644,GSE218214,CAF,CAF,CVCL_R883,Carassius auratus
GSM6736645,GSE218214,CAF,CAF,CVCL_R883,Carassius auratus
GSM6736646,GSE218214,CAF,CAF,CVCL_R883,Carassius auratus
GSM6736647,GSE218214,CAF,CAF,CVCL_R883,Carassius auratus
GSM6736648,GSE218214,CAF,CAF,CVCL_R883,Carassius auratus
GSM6736649,GSE218214,CAF,CAF,CVCL_R883,Carassius auratus
GSM6736650,GSE218214,CAF,CAF,CVCL_R883,Carassius auratus
GSM5898197,GSE196689,P9,P9,CVCL_B6EF,Rattus norvegicus
GSM5898198,GSE196689,P9,P9,CVCL_B6EF,Rattus norvegicus
GSM5898199,GSE196689,P9,P9,CVCL_B6EF,Rattus norvegicus
GSM5898200,GSE196689,P9,P9,CVCL_B6EF,Rattus norvegicus
GSM5898201,GSE196689,P9,P9,CVCL_B6EF,Rattus norvegicus
GSM5898202,GSE196689,P9,P9,CVCL_B6EF,Rattus norvegicus
GSM5898203,GSE196689,P9,P9,CVCL_B6EF,Rattus norvegicus
GSM5898204,GSE196689,P9,P9,CVCL_B6EF,Rattus norvegicus
GSM5898205,GSE196689,P9,P9,CVCL_B6EF,Rattus norvegicus
GSM5898206,GSE196689,P9,P9,CVCL_B6EF,Rattus norvegicus
GSM5898207,GSE196689,P9,P9,CVCL_B6EF,Rattus norvegicus
GSM5898208,GSE196689,P9,P9,CVCL_B6EF,Rattus norvegicus
GSM5898209,GSE196689,P9,P9,CVCL_B6EF,Rattus norvegicus
GSM5898210,GSE196689,P9,P9,CVCL_B6EF,Rattus norvegicus
GSM5322289,GSE174673,MCF10.AT1,R-3327-AT-1,CVCL_3568,Rattus norvegicus
GSM5322290,GSE174673,MCF10.AT1,R-3327-AT-1,CVCL_3568,Rattus norvegicus
GSM5322291,GSE174673,MCF10.AT1,R-3327-AT-1,CVCL_3568,Rattus norvegicus
GSM5322292,GSE174673,MCF10.AT1-R,R-3327-AT-1,CVCL_3568,Rattus norvegicus
GSM5322293,GSE174673,MCF10.AT1-R,R-3327-AT-1,CVCL_3568,Rattus norvegicus
GSM5322294,GSE174673,MCF10.AT1-R,R-3327-AT-1,CVCL_3568,Rattus norvegicus
GSM7089589,GSE226993,M,DM87,CVCL_9126,Muntiacus muntjak
GSM7089677,GSE226993,M,DM87,CVCL_9126,Muntiacus muntjak
GSM5866622,GSE196261,Li-7 cells,LI-7,CVCL_F1IS,Mus musculus
GSM5866623,GSE196261,Li-7,LI-7,CVCL_F1IS,Mus musculus
GSM4611915,GSE152299,9C,LSQC-9C,CVCL_T637,Coturnix japonica
GSM4611916,GSE152299,9C,LSQC-9C,CVCL_T637,Coturnix japonica
GSM4611917,GSE152299,9C,LSQC-9C,CVCL_T637,Coturnix japonica
GSM4611925,GSE152299,9C,LSQC-9C,CVCL_T637,Coturnix japonica
GSM704110,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM704302,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM704303,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM704329,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM704330,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM704423,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM704454,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM704485,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM704797,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM705084,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM705117,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM705277,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM1440804,GSE59630,OFC,OFC,CVCL_A3AI,Ovis aries
GSM1440814,GSE59630,OFC,OFC,CVCL_A3AI,Ovis aries
GSM1440823,GSE59630,OFC,OFC,CVCL_A3AI,Ovis aries
GSM1440838,GSE59630,OFC,OFC,CVCL_A3AI,Ovis aries
GSM1440844,GSE59630,OFC,OFC,CVCL_A3AI,Ovis aries
GSM1440851,GSE59630,OFC,OFC,CVCL_A3AI,Ovis aries
GSM1440862,GSE59630,OFC,OFC,CVCL_A3AI,Ovis aries
GSM1440872,GSE59630,OFC,OFC,CVCL_A3AI,Ovis aries
GSM1440881,GSE59630,OFC,OFC,CVCL_A3AI,Ovis aries
GSM1440896,GSE59630,OFC,OFC,CVCL_A3AI,Ovis aries
GSM1440902,GSE59630,OFC,OFC,CVCL_A3AI,Ovis aries
GSM1440909,GSE59630,OFC,OFC,CVCL_A3AI,Ovis aries
GSM1499508,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499509,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499510,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499511,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499512,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499513,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499514,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499515,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499516,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499517,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499518,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499519,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499520,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499521,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499522,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499523,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499524,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499525,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499526,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499527,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499528,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499529,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499530,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM1499531,GSE61203,A2,A-2,CVCL_1939,Xiphophorus xiphidium
GSM707998,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM708615,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM708647,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM708910,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM708911,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM709076,GSE25219,OFC,OFC,CVCL_A3AI,Ovis aries
GSM11981,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11971,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11982,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11999,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11983,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12000,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12005,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12001,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12006,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11975,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12007,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11976,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12011,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11977,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12012,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11987,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12028,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11989,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12029,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12030,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12023,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12024,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12025,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11993,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11994,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11995,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11963,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11964,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11965,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12017,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12018,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12019,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11969,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11970,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12013,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11988,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11984,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11974,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11985,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12002,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11986,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12003,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12008,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12004,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12009,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11978,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12010,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11979,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12014,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11980,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12015,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11990,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12016,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11991,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12031,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11992,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12032,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12033,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12026,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12027,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11996,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11997,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11998,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11966,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11967,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11968,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12020,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12021,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12022,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11972,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM11973,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12125,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12115,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12126,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12144,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12127,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12145,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12150,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12146,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12151,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12119,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12152,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12120,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12156,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12121,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12157,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12132,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12158,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12133,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12174,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12134,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12175,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12176,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12168,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12169,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12170,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12138,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12139,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12140,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12107,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12108,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12109,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12162,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12163,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12164,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12113,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12114,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12129,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12118,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12130,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
GSM12147,GSE772,BV2,BV-2,CVCL_0182,Mus musculus
