item,field,raw_value,assigned_id,instances,verdict,matched_id
348,Condition,early secretory,OOV-C-1D26F92D08,51,appropriate,
349,Treatment,PLX-4720 0.37µM,OOV-X-01E1812352,57,appropriate,
350,Condition,Normal tissue,OOV-C-9DB2C8582D,424,appropriate,
351,Treatment,Chemo+BEVA,OOV-X-618BD7232E,196,appropriate,
352,Treatment,AS-605240 1.11µM,OOV-X-9CBC30F460,72,appropriate,
353,Treatment,durvalumab/olaparib arm,OOV-X-7816F9ACF4,62,appropriate,
354,Treatment,selumetinib 0.04µM,OOV-X-810E68122B,76,appropriate,
355,Condition,No ABMRh,OOV-C-FC6AA20B3D,168,appropriate,
356,Treatment,CHIR-99021 0.37µM,OOV-X-0FC08ABCA6,73,appropriate,
357,Treatment,GSK-690693 10µM,OOV-X-5325D720A7,54,appropriate,
358,Treatment,EGFR,ART-X-14203,74,appropriate,
359,Treatment,PF-562271 3.33µM,OOV-X-75E9B9663F,66,appropriate,
360,Condition,Unremarkable breast ducts (Normal),OOV-C-DAB298A968,90,appropriate,
361,Treatment,BFP,ART-X-22089,123,appropriate,
362,Condition,cancer stage: 1,OOV-C-B946B82FC0,52,appropriate,
363,Treatment,trametinib 1.11µM,OOV-X-FD0B9175F8,53,appropriate,
364,Tissue,CLL cells,OOV-T-1B6A5C8BDB,82,appropriate,
365,Tissue,Lymphoma,OOV-T-F33F655544,91,appropriate,
366,Treatment,ERG,ART-X-14336,51,appropriate,
367,Treatment,CGP-60474 3.33µM,OOV-X-FCE5462370,184,appropriate,
368,Treatment,EVLP,ART-X-23630,51,appropriate,
369,Tissue,PTCL,ART-T-02666,139,appropriate,
370,Condition,normal human bronchial epithelial cells,OOV-C-99DAD5492F,62,appropriate,
371,Treatment,PF-477736 0.12µM,OOV-X-10153AA138,58,appropriate,
372,Treatment,YF-17D Vaccinee,OOV-X-CF34943294,76,inappropriate,D022341
373,Treatment,tozasertib 10µM,OOV-X-482550854F,56,appropriate,
374,Treatment,HG-6-64-01 0.12µM,OOV-X-6EE59F3FED,69,appropriate,
375,Treatment,mut igvh mutational status,OOV-X-013E5C8C68,133,appropriate,
376,Treatment,trametinib 0.37µM,OOV-X-3B1E79F425,50,appropriate,
377,Treatment,H5N1+AS03,OOV-X-06E0199D2C,259,appropriate,
378,Condition,tumor stage: III-IV,OOV-C-298A49230E,161,appropriate,
379,Condition,Healthy control,OOV-C-EA9A2B240D,902,appropriate,
380,Treatment,Empty vector,OOV-X-402D4F08BE,61,appropriate,
381,Treatment,withaferin-a 0.12µM,OOV-X-46CC909D72,135,appropriate,
382,Tissue,ES cells,OOV-T-FD929508E5,57,inappropriate,D053595
383,Condition,Young (baseline),OOV-C-DC91EDFA8D,53,appropriate,
384,Treatment,vino,OOV-X-A948151F9A,51,appropriate,
385,Treatment,TGX-221 1.11µM,OOV-X-3AD864E3F2,57,appropriate,
386,Condition,ionizing radiation (IR),OOV-C-D459AC88F4,314,appropriate,
387,Treatment,scrambled siRNA,OOV-X-C308F0FBF4,97,appropriate,
388,Treatment,ADA,ART-X-02855,80,appropriate,
389,Treatment,PHA-793887 3.33µM,OOV-X-A5FE032187,69,appropriate,
390,Treatment,vector,OOV-X-03F0F90AFC,170,appropriate,
391,Treatment,pre-vaccination,OOV-X-EED375C180,167,appropriate,
392,Treatment,SB590885 10µM,OOV-X-7AA509B90C,56,appropriate,
393,Tissue,human islet beta cells,OOV-T-A08B97063A,90,inappropriate,D050417
394,Tissue,cancerCells,OOV-T-AFEC996E4D,132,appropriate,
395,Condition,early stage CRC; tumor; metastasis negative,OOV-C-3D6B60C7DD,77,inappropriate,D015179
396,Tissue,IL4 DC,OOV-T-88EF95C660,88,inappropriate,D003713
397,Treatment,BYL719 3.33µM,OOV-X-D84E1BF5F6,58,appropriate,
398,Tissue,primary keratinocyte culture,OOV-T-EB21F56565,60,inappropriate,D015603
399,Condition,Healthy,OOV-C-E20B68DA99,2744,appropriate,
400,Condition,healthy subject,OOV-C-3A89EEC4E4,173,appropriate,
401,Condition,indeterminate; benign,OOV-C-2D570D50A8,73,appropriate,
402,Condition,obese; no systemic insulin resistance,OOV-C-B032E966C0,117,inappropriate,D009765
403,Condition,typical development,OOV-C-B8661EB2E2,64,appropriate,
404,Treatment,Symptomatic,OOV-X-4D5B1B6967,68,appropriate,
405,Condition,preterm,OOV-C-0662B098FB,77,inappropriate,D047928
406,Treatment,R10 media alone (U),OOV-X-EA712FD41E,89,appropriate,
407,Treatment,PD-184352 0.12µM,OOV-X-1B2B864286,57,appropriate,
408,Condition,pABMR,ART-C-02143,64,appropriate,
409,Treatment,GSK-2126458 0.37µM,OOV-X-C53A4DBFE0,75,appropriate,
410,Tissue,rectal tumor,OOV-T-3B20020819,69,appropriate,
411,Treatment,Ust_Ust,OOV-X-F1B2F65C0C,433,appropriate,
412,Treatment,NVP-BEZ235 0.12µM,OOV-X-A6BF2781D2,56,appropriate,
413,Condition,normal buccal cells,OOV-C-5EB8D2AE24,53,appropriate,
414,Treatment,PHA-665752 0.12µM,OOV-X-462CABFC5E,54,appropriate,
415,Treatment,NVP-BEZ235 0.04µM,OOV-X-8B6484DC3C,57,appropriate,
416,Condition,differentiated state,OOV-C-BCD8A08AE0,351,appropriate,
417,Treatment,standard ICU care for septic shock,OOV-X-FF0FEEE882,181,appropriate,
418,Tissue,tumour,OOV-T-BD3240A33A,58,appropriate,
419,Treatment,Sleep Restriction,OOV-X-E7CCD21154,240,appropriate,
420,Treatment,POST-CHEM-RAD,OOV-X-BED4495585,90,appropriate,
421,Treatment,Crisaborole,OOV-X-A0BF07B576,102,appropriate,
422,Tissue,Tumor tissue,OOV-T-744B89AF51,103,appropriate,
423,Treatment,PI-103 0.04µM,OOV-X-FA6DF5B2C0,72,appropriate,
424,Treatment,XMD16-144 1.11µM,OOV-X-B7C17696C3,56,appropriate,
425,Tissue,sorted CLL PBMCs,OOV-T-BF74FC1346,118,appropriate,
426,Condition,MCI,ART-C-00369,120,inappropriate,D060825
427,Tissue,colorectal cancer metastasis,OOV-T-5321489A04,257,appropriate,
428,Tissue,CD4+ Tcells,OOV-T-DD6B564FF3,339,inappropriate,D015496
429,Treatment,NU-7441 0.04µM,OOV-X-70501C2F21,54,appropriate,
430,Treatment,pelitinib 0.12µM,OOV-X-00A3CB2DC9,57,appropriate,
431,Condition,malignant,OOV-C-E138B10FCA,142,appropriate,
432,Tissue,LCL,ART-T-00126,204,appropriate,
434,Treatment,AS-605240 3.33µM,OOV-X-C181F7A828,72,appropriate,
435,Treatment,PPROM group,OOV-X-F5EC296B50,59,appropriate,
436,Treatment,Smoker,OOV-X-6D9285066E,130,appropriate,
437,Tissue,human monocyte cell line,OOV-T-22279317B5,178,appropriate,
438,Condition,prostate adenocarcinoma,OOV-C-990479A14D,177,inappropriate,D011471
439,Treatment,IVF,ART-X-22335,167,appropriate,
440,Condition,non-tumor tissue,OOV-C-D31D74DD36,55,appropriate,
441,Treatment,healthy bone marrow,OOV-X-61ED550CF8,51,appropriate,
442,Condition,healthy donors,OOV-C-2ED1735684,509,appropriate,
443,Condition,high BLL,OOV-C-DD14A97124,65,appropriate,
444,Condition,Colorecal Cancer,OOV-C-2D027C3562,400,inappropriate,D015179
445,Tissue,Colorectal Cancer,OOV-T-4AEBAD3347,434,appropriate,
446,Treatment,torin-2 0.37µM,OOV-X-0B9CDC47ED,51,appropriate,
447,Treatment,HG-6-64-01 10µM,OOV-X-986996A10E,58,appropriate,
448,Treatment,healthy buccal,OOV-X-E30C2B3722,89,appropriate,
449,Treatment,never smoker,OOV-X-5E6AAF6D82,95,appropriate,
450,Treatment,CTLA4 treated patient plasma,OOV-X-3FC072F285,165,appropriate,
451,Condition,Stage II; COPD,OOV-C-AD65A932DB,68,inappropriate,D029424
452,Treatment,TG-101348 0.37µM,OOV-X-93E100F3CE,58,appropriate,
453,Tissue,neuroblastoma,OOV-T-A5FAD67B7A,363,appropriate,
454,Treatment,geldanamycin 100nM,OOV-X-7070DBCB99,93,appropriate,
455,Condition,colon adenocarcinoma stage II,OOV-C-01794C886B,90,inappropriate,D015179
456,Treatment,nilotinib 1.11µM,OOV-X-76ADB51DCA,57,appropriate,
457,Treatment,GSK-1059615 10µM,OOV-X-911273EFBF,220,appropriate,
458,Treatment,GSK-2126458 0.12µM,OOV-X-DCFF53D1D2,72,appropriate,
459,Condition,Possible AD,OOV-C-B428B19DC8,246,inappropriate,D000544
460,Treatment,doce; herceptin,OOV-X-06805C89F8,50,appropriate,
461,Treatment,KIN001-043 0.12µM,OOV-X-1556848C5D,73,appropriate,
462,Treatment,NF1; 2µL,OOV-X-FD9827B1F3,53,appropriate,
463,Treatment,CP-724714 0.37µM,OOV-X-0D55C0ECA2,51,appropriate,
464,Condition,Diseased,OOV-C-093E7BCEBD,425,appropriate,
465,Tissue,WBC,ART-T-00423,72,inappropriate,D007962
466,Tissue,triple negative breast cancer (TNBC),OOV-T-D15585BD9F,98,appropriate,
467,Treatment,CP466722 0.37µM,OOV-X-F7235D3198,55,appropriate,
469,Treatment,GSK-2126458 1.11µM,OOV-X-95A3DC9124,71,appropriate,
470,Tissue,invasive ductal carcinomas (IDC),OOV-T-C69B9C31AC,97,appropriate,
471,Treatment,NVP-TAE684 1.11µM,OOV-X-2EF38A7F97,74,appropriate,
472,Treatment,bmi: 25-29.99,OOV-X-18352F23DB,77,appropriate,
473,Tissue,peripheral PBMC,OOV-T-BAAE6DF038,885,inappropriate,D007963
474,Treatment,torin-2 0.12µM,OOV-X-39600A4F27,53,appropriate,
475,Treatment,wP-FEC,OOV-X-8BB2E371E2,232,appropriate,
476,Condition,smoker,OOV-C-24C738EAD4,898,appropriate,
477,Treatment,JNK-9L 0.04µM,OOV-X-5587C6C4AA,69,appropriate,
478,Treatment,CAMK1 2µL,OOV-X-BA93E24A54,62,appropriate,
479,Condition,bpd; Severe,OOV-C-4E67A88C49,97,inappropriate,D001997
480,Treatment,foretinib 0.37µM,OOV-X-355942A659,55,appropriate,
482,Condition,recent-onset (RO) T1D,OOV-C-1661CC84C1,195,inappropriate,D003922
483,Treatment,belinostat 10µM,OOV-X-384091DC24,57,appropriate,
484,Tissue,acute lymphoblastic leukemia,OOV-T-51F12B7DD9,88,appropriate,
485,Treatment,IgG-coated latex beads,OOV-X-6DAC7C9FB9,53,appropriate,
486,Treatment,AZD-8055 0.04µM,OOV-X-E37652A97C,71,appropriate,
487,Treatment,LPS; aCD3-aCD28; aIL10R,OOV-X-CB8807375F,71,appropriate,
488,Condition,Stage IV; Stage III,OOV-C-B1C8493E3C,77,appropriate,
489,Treatment,non-rejecting diagnosis,OOV-X-A2C84BFE3D,222,appropriate,
490,Treatment,NU-7441 10µM,OOV-X-E7E5CE93C2,57,appropriate,
491,Treatment,"fractional dose of 10mg RTS,S/AS01 at Week 8; ChAd63 ME-TRAP at Week 0; MVA ME-TRAP at Week 4 and 8",OOV-X-E037902A8D,69,appropriate,
492,Tissue,CD34+ cells,OOV-T-43D7C5B608,344,inappropriate,D006412
493,Tissue,Myocard,OOV-T-0E504DA222,68,inappropriate,D009206
494,Tissue,Wilms tumor tissue,OOV-T-67BAC66848,53,appropriate,
495,Treatment,AZD-7762 3.33µM,OOV-X-DD28954F23,74,appropriate,
496,Condition,Carrier,OOV-C-E29EAC81E8,250,appropriate,
497,Tissue,PB_MNC,OOV-T-D65B9FBE25,96,inappropriate,D007963
498,Treatment,chronically high in PSI,OOV-X-BCEC6065A4,57,appropriate,
499,Condition,primary CNS lymphoma; metastatic dlbcl in cns,OOV-C-1FB270AFEE,50,inappropriate,D016403
500,Condition,RRMS,ART-C-01401,566,inappropriate,D020529
