column,acronym,samples,resolved,target,id
Condition,nonPD,3,no,Not Specified,
Condition,HCRED,3,no,immortalized human lung epithelial,ART-C-00063
Condition,CCL,3,no,Not Specified,
Condition,DRD,3,yes,Parkinson Disease,D010300
Condition,UTI,3,no,UTI,ART-C-00100
Condition,PPP,3,yes,"Keratoderma, Palmoplantar",D007645
Condition,NCI,3,no,No Cognative Impairment,ART-C-00126
Condition,LSCC,3,yes,Squamous Cell Carcinoma of Head and Neck,D000077195
Condition,LGG,3,no,LGG,ART-C-00155
Condition,DFNB,3,no,differentiate under basal conditions without FGF,ART-C-00165
Condition,SCA2,3,yes,Spinocerebellar Ataxias,D020754
Condition,TPE,3,yes,"Tuberculosis, Pleural",D014396
Condition,BE,3,yes,Barrett Esophagus,D001471
Condition,SQ,3,no,SQ,ART-C-00184
Condition,CLS,3,no,CLS,ART-C-00195
Condition,PDSS,3,no,PDSS,ART-C-00207
Condition,KD1,3,no,KD1,ART-C-00257
Condition,CHB,3,yes,"Hepatitis B, Chronic",D019694
Condition,KTU,3,no,KTU,ART-C-00267
Condition,KT,3,no,KT,ART-C-00274
Condition,PBS,3,no,Phosphate-Buffered Saline,ART-C-00283
Condition,TRG2,3,no,tumour regression grade,ART-C-00290
Condition,TNF,3,no,Tumor Necrosis Factor-alpha,ART-C-00296
Condition,UVB,3,no,UVB,ART-C-00306
Condition,II,3,no,II,ART-C-00330
Condition,DMOG,3,no,dimethyloxalylglycine,ART-C-00333
Condition,DIG,3,no,DIG,ART-C-00338
Condition,shC,3,no,shCtrl,ART-C-00349
Condition,TLC,3,no,taurolithocholic acid,ART-C-00356
Condition,LOPET,3,no,LOPET,ART-C-00358
Condition,FPAH,2,no,FPAH,ART-C-00034
Condition,NDA,2,no,Not Specified,
Condition,MPN,2,yes,Myeloproliferative Disorders,D009196
Condition,NTC,2,no,Not Specified,
Condition,PTL,2,yes,Pre-Eclampsia,D011225
Condition,AWS,2,no,AWS,ART-C-00080
Condition,PLWIH,2,no,PLWIH,ART-C-00082
Condition,KBD,2,yes,Kashin-Beck Disease,D057767
Condition,PPPP,2,yes,Psoriasis,D011565
Condition,PIN,2,no,PIN,ART-C-00123
Condition,DRESS,2,no,DRESS,ART-C-00127
Condition,SKOV3,2,no,SKOV3,ART-C-00142
Condition,HIV,2,yes,HIV Infections,D015658
Condition,DENV,2,yes,Dengue,D003715
Condition,CMMoL,2,yes,"Leukemia, Myelomonocytic, Chronic",D015477
Condition,RBS,2,no,RBS,ART-C-00160
Condition,POAG,2,no,POAG,ART-C-00164
Condition,HDLI,2,no,HDLI,ART-C-00169
Condition,MFH,2,no,MFH,ART-C-00170
Condition,SqCCL,2,yes,"Carcinoma, Squamous Cell",D002294
Condition,WS,2,no,whole blood,ART-C-00191
Condition,NMZL,2,no,NMZL,ART-C-00196
Condition,MSS,2,no,microsatellite stable,ART-C-00215
Condition,GvHD,2,yes,Graft vs Host Disease,D006086
Condition,BPD,2,yes,Bronchopulmonary Dysplasia,D001997
Condition,ADD,2,yes,Autism Spectrum Disorder,D000067877
Condition,CG,2,no,Not Specified,
Condition,AMM,2,yes,Smoldering Multiple Myeloma,D000075122
Condition,PS,2,no,PS,ART-C-00229
Condition,Hyp,2,yes,Hypoxia,D000860
Condition,Askin,2,no,Askin,ART-C-00258
Condition,eCLD,2,no,eCLD,ART-C-00260
Condition,Th1,2,no,Th1,ART-C-00265
Condition,Th2,2,no,Th2,ART-C-00269
Condition,AA,2,no,areata,ART-C-00273
Condition,Adult,2,no,Adult,ART-C-00276
Condition,TME,2,no,tumour microenvironment,ART-C-00277
Condition,SCC,2,yes,"Carcinoma, Squamous Cell",D002294
Condition,TRG4,2,no,tumour regression grade,ART-C-00290
Condition,PML,2,no,PML,ART-C-00293
Condition,Ctrl3,2,no,Not Specified,
Condition,Type2,2,no,Type2,ART-C-00301
Condition,EMZL,2,no,EMZL,ART-C-00302
Condition,TKA,2,no,total knee arthroplasty,ART-C-00304
Condition,MRSA,2,no,MRSA,ART-C-00313
Condition,NSLC,2,yes,"Carcinoma, Non-Small-Cell Lung",D002289
Condition,OPA1,2,no,OPA1 Haploinsufficiency,ART-C-00337
Condition,CSB,2,yes,Cockayne Syndrome,D003057
Condition,PACD,2,no,PACD,ART-C-00348
Condition,LGLL,2,yes,"Leukemia, Large Granular Lymphocytic",D054066
Condition,CUP,2,no,CUP,ART-C-00351
Condition,Aged,2,no,Aged,ART-C-00360
Condition,AKI,1,yes,Acute Kidney Injury,D058186
Condition,PC3,1,yes,Prostatic Neoplasms,D011471
Condition,FGGS,1,no,FGGS,ART-C-00040
Condition,NDB,1,no,Normal donor,ART-C-00044
Condition,hTeno,1,no,human tenocyte,ART-C-00057
Condition,HIV1,1,yes,HIV Infections,D015658
Condition,gCJD,1,no,genetic Creutzfeldt-Jakob disease,ART-C-00091
Condition,CEL,1,yes,Neoplasms,D009369
Condition,RADY,1,yes,Respiratory Distress Syndrome,D012128
Condition,Mild,1,no,Mild,ART-C-00103
Condition,EAE,1,no,EAE,ART-C-00124
Condition,SCID,1,yes,Severe Combined Immunodeficiency,D016511
Condition,mTLE,1,yes,"Epilepsy, Temporal Lobe",D004833
Condition,hESC,1,no,human Embryonic Stem Cells,ART-C-00144
Condition,pFASD,1,yes,Fetal Alcohol Spectrum Disorders,D063647
Condition,MM249,1,yes,Multiple Myeloma,D009101
Condition,LiM2,1,no,LiM2,ART-C-00149
Condition,MC,1,no,MC,ART-C-00152
Condition,fALS,1,yes,Amyotrophic Lateral Sclerosis,D000690
Condition,DBD,1,yes,Brain Death,D001926
Condition,EIB,1,yes,"Asthma, Exercise-Induced",D001250
Condition,Grade,1,no,genomic grade,ART-C-00172
Condition,LMM,1,no,LMM,ART-C-00187
Condition,CVB3,1,no,CVB3,ART-C-00206
Condition,CSE,1,no,cigarette smoke extract,ART-C-00212
Condition,pcEVT,1,no,proximal column extravillous trophoblasts,ART-C-00223
Condition,OPM1,1,no,OPM1,ART-C-00224
Condition,Basal,1,no,Basal,ART-C-00227
Condition,MAL,1,no,MAL,ART-C-00233
Condition,TBI,1,no,total body irradiation,ART-C-00234
Condition,nonTD,1,no,Not Specified,
Condition,Aging,1,no,aging,ART-C-00065
Condition,NEPC,1,yes,Neuroendocrine Tumors,D018358
Condition,CMV,1,yes,Cytomegalovirus Infections,D003586
Condition,Uninf,1,no,Not Specified,
Condition,HP,1,no,HP,ART-C-00294
Condition,TRG3,1,no,tumor regression grade,ART-C-00295
Condition,DMPM,1,no,DMPM,ART-C-00298
Condition,PTCL,1,yes,"Lymphoma, T-Cell, Peripheral",D016411
Condition,sALS,1,no,sporadic ALS,ART-C-00300
Condition,CTEPH,1,no,CTEPH,ART-C-00315
Condition,GRN,1,no,GRN,ART-C-00319
Condition,ADH,1,no,Atypical hyperplasias,ART-C-00322
Condition,MAPT,1,no,MAPT,ART-C-00332
Condition,IS,1,yes,Ischemic Stroke,D000083242
Condition,SLEb,1,yes,"Lupus Erythematosus, Systemic",D008180
Condition,SLEa,1,yes,"Lupus Erythematosus, Systemic",D008180
Condition,XDP,1,no,XDP,ART-C-00347
Condition,POLG1,1,no,POLG1,ART-C-00350
Condition,POLG6,1,no,POLG6,ART-C-00352
Condition,POLG3,1,no,POLG3,ART-C-00353
Condition,POLG2,1,no,POLG2,ART-C-00354
Condition,PAIS,1,yes,Androgen-Insensitivity Syndrome,D013734
