acronym,gse,occurrences,expansion_found_in_study,verdict,mesh_id,mesh_name
PEL,GSE49506,4,,not defined in the study's own text,,
AML1-ETO,GSE57194,4,,not defined in the study's own text,,
PML-RARA,GSE57194,4,,not defined in the study's own text,,
HCL,GSE79196,4,,not defined in the study's own text,,
HCL-v,GSE79196,4,,not defined in the study's own text,,
TTTS,GSE47392,4,twin-twin transfusion syndrome,defined in the study and MeSH has it in-branch,D005330,Fetofetal Transfusion
HIV-1,GSE12963,4,,not defined in the study's own text,,
CDc,GSE16879,4,,not defined in the study's own text,,
RSV,GSE3397,4,,not defined in the study's own text,,
EWS-FLI-1,GSE31215,4,,not defined in the study's own text,,
SCA28,GSE42406,4,,not defined in the study's own text,,
LCL,GSE69252,4,localized,defined in the study and MeSH has no term for it,,
MALT,GSE34015,4,mucosa-associated lymphoid tissue,defined in the study and MeSH has no term for it,,
CGL,GSE39825,4,congenital forms,defined in the study and MeSH has no term for it,,
OA,GSE62627,3,,not defined in the study's own text,,
RAEB1,GSE77750,3,,not defined in the study's own text,,
HCMV,GSE112514,3,,not defined in the study's own text,,
HC,GSE72374,3,,not defined in the study's own text,,
GAS/SF,GSE68004,3,,not defined in the study's own text,,
B-ALL,GSE94302,3,B-cell precursor acute lymphoblastic leukemia,defined in the study and MeSH has no term for it,,
NRASQ61K,GSE62827,3,,not defined in the study's own text,,
KRASv12,GSE62827,3,,not defined in the study's own text,,
HCMV,GSE35295,3,human cytomegalovirus,defined in the study and MeSH has no term for it,,
ALS+D,GSE139384,3,,not defined in the study's own text,,
II,GSE23130,3,,not defined in the study's own text,,
HIV-,GSE67751,3,,not defined in the study's own text,,
CGD,GSE40790,3,,not defined in the study's own text,,
SQ,GSE89181,3,,not defined in the study's own text,,
DIG,GSE73801,3,,not defined in the study's own text,,
LOPET,GSE74738,3,,not defined in the study's own text,,
LPS,GSE188206,3,lipopolysaccharide,defined in the study but MeSH holds it outside the branch,D008070,Lipopolysaccharides
GJB2-D66H,GSE200386,3,,not defined in the study's own text,,
TRG2,GSE93375,3,,not defined in the study's own text,,
TLC,GSE198326,3,taurolithocholic acid,defined in the study but MeSH holds it outside the branch,D013658,Taurolithocholic Acid
NCI,GSE185909,3,No Cognative Impairment,defined in the study and MeSH has no term for it,,
ERα(+),GSE112419,3,,not defined in the study's own text,,
ERα(-),GSE112419,3,,not defined in the study's own text,,
ATXN1L-KO,GSE103514,3,,not defined in the study's own text,,
B-ALL,GSE196107,3,bi-alleleic DDX41 mutations in B-cell lymphoblastic leukemia,defined in the study and MeSH has no term for it,,
DMOG,GSE138535,3,dimethyloxalylglycine,defined in the study and MeSH has no term for it,,
NAFLD-HCC,GSE99131,3,,not defined in the study's own text,,
LPS,GSE149490,3,,not defined in the study's own text,,
AECOPD,GSE60399,3,,not defined in the study's own text,,
HCT116,GSE109676,3,,not defined in the study's own text,,
HC,GSE84655,3,,not defined in the study's own text,,
LA-MPE,GSE171540,3,,not defined in the study's own text,,
LUSC,GSE137291,3,,not defined in the study's own text,,
CTL,GSE200539,3,,not defined in the study's own text,,
BCL11B_KO,GSE200101,3,,not defined in the study's own text,,
KD1,GSE143375,3,,not defined in the study's own text,,
KT,GSE143375,3,,not defined in the study's own text,,
KTU,GSE143375,3,,not defined in the study's own text,,
UVB,GSE193090,3,,not defined in the study's own text,,
SKOV-3,GSE144041,3,,not defined in the study's own text,,
CTR,GSE117527,3,,not defined in the study's own text,,
HCRED,GSE118799,3,,not defined in the study's own text,,
DHT,GSE125337,3,dihydrotestosterone,defined in the study but MeSH holds it outside the branch,D013196,Dihydrotestosterone
NKX2.5-KO,GSE150051,3,,not defined in the study's own text,,
ECRSwNP,GSE169375,3,eosinophilic CRSwNP,defined in the study and MeSH has no term for it,,
cT3N1M1,GSE222073,3,,not defined in the study's own text,,
MPSIIIB,GSE23075,3,,not defined in the study's own text,,
ASD_LTCV,GSE49105,3,,not defined in the study's own text,,
EWS-FLI1,GSE65941,3,,not defined in the study's own text,,
SHAM,GSE77906,3,,not defined in the study's own text,,
CCL,GSE76546,3,,not defined in the study's own text,,
DRD-DYT5,GSE99039,3,,not defined in the study's own text,,
MB_G4,GSE151343,3,,not defined in the study's own text,,
BCR/ABL1,GSE15811,3,,not defined in the study's own text,,
DFNB,GSE36754,3,differentiate under basal conditions without FGF,defined in the study and MeSH has no term for it,,
SHAM,GSE77907,3,,not defined in the study's own text,,
DORMANT,GSE58588,3,,not defined in the study's own text,,
CLS,GSE36842,3,,not defined in the study's own text,,
PDSS,GSE20196,3,Poorly differentiated type synovial sarcoma,defined in the study and MeSH has no term for it,,
BRAFV600E,GSE46801,3,,not defined in the study's own text,,
WM,GSE122231,3,,not defined in the study's own text,,
SHAM,GSE77908,3,,not defined in the study's own text,,
ATRT_SHH,GSE99961,3,,not defined in the study's own text,,
TNF,GSE207390,3,,not defined in the study's own text,,
IGT_DM2,GSE22435,3,,not defined in the study's own text,,
AIDS-NHL,GSE18826,3,,not defined in the study's own text,,
HC,GSE34885,3,,not defined in the study's own text,,
IC,GSE40292,3,,not defined in the study's own text,,
COP,GSE32537,3,,not defined in the study's own text,,
PBS,GSE23076,3,,not defined in the study's own text,,
PRMS,GSE131279,2,,not defined in the study's own text,,
CTR,GSE103992,2,,not defined in the study's own text,,
SKOV3,GSE68986,2,,not defined in the study's own text,,
SUDHL4,GSE120316,2,,not defined in the study's own text,,
HIV-1,GSE166375,2,,not defined in the study's own text,,
LCNEC,GSE60644,2,large cell neuroendocrine carcinomas,defined in the study and MeSH has no term for it,,
TKA,GSE59662,2,total knee arthroplasty,defined in the study but MeSH holds it outside the branch,D019645,"Arthroplasty, Replacement, Knee"
MRSA,GSE40396,2,,not defined in the study's own text,,
OPA1,GSE94425,2,,not defined in the study's own text,,
MCF7,GSE109509,2,,not defined in the study's own text,,
PIN,GSE73549,2,,not defined in the study's own text,,
AML,GSE43226,2,,not defined in the study's own text,,
LGG,GSE48461,2,,not defined in the study's own text,,
WS,GSE66552,2,,not defined in the study's own text,,
CG,GSE60753,2,,not defined in the study's own text,,
ICF,GSE68747,2,Immunodeficiency centromeric instability and facial anomalies syndrome,defined in the study and MeSH has no term for it,,
eCLD,GSE139602,2,early chronic liver disease,defined in the study and MeSH has no term for it,,
PCLBCL-LT,GSE106876,2,,not defined in the study's own text,,
TRG4,GSE93375,2,,not defined in the study's own text,,
MDS-L,GSE164744,2,,not defined in the study's own text,,
ATL,GSE49308,2,,not defined in the study's own text,,
NMZL,GSE68078,2,Nodal marginal zone lymphoma,defined in the study and MeSH has no term for it,,
PACD,GSE50573,2,Posterior amorphous corneal dystrophy,defined in the study and MeSH has no term for it,,
AML-M2,GSE143232,2,,not defined in the study's own text,,
HDLI,GSE179445,2,HD-associated lung injury,defined in the study and MeSH has no term for it,,
AA,GSE149653,2,areata,defined in the study and MeSH has no term for it,,
BRCA1+/-,GSE104693,2,,not defined in the study's own text,,
EWSFLI1,GSE140328,2,,not defined in the study's own text,,
pPV-MF,GSE174060,2,post-PV-MF,defined in the study and MeSH has no term for it,,
pET-MF,GSE174060,2,post-ET-MF,defined in the study and MeSH has no term for it,,
pPV-MF,GSE136335,2,,not defined in the study's own text,,
M(IL-10),GSE124020,2,,not defined in the study's own text,,
PLWIH,GSE235229,2,,not defined in the study's own text,,
NTC,GSE129978,2,,not defined in the study's own text,,
MN,GSE180393,2,,not defined in the study's own text,,
MN,GSE180394,2,,not defined in the study's own text,,
IVS10+16,GSE104013,2,,not defined in the study's own text,,
LPS,GSE136758,2,,not defined in the study's own text,,
RRMS-a,GSE228330,2,,not defined in the study's own text,,
SPMS-s,GSE228330,2,,not defined in the study's own text,,
PS,GSE126581,2,,not defined in the study's own text,,
TME,GSE217640,2,tumour microenvironment,defined in the study and MeSH has no term for it,,
cT1N3M1,GSE222073,2,,not defined in the study's own text,,
cT3N1M0,GSE222073,2,,not defined in the study's own text,,
cT4N2M1,GSE222073,2,,not defined in the study's own text,,
ER+/PR+,GSE10061,2,,not defined in the study's own text,,
PMF,GSE42731,2,,not defined in the study's own text,,
POAG,GSE45570,2,,not defined in the study's own text,,
MPSIIIB,GSE32154,2,mucopolysaccharidosis IIIB,defined in the study and MeSH has no term for it,,
OIS,GSE86546,2,oncogene-induced senescence,defined in the study and MeSH has no term for it,,
ALCL,GSE146390,2,,not defined in the study's own text,,
CBD,GSE99039,2,,not defined in the study's own text,,
CF,GSE23583,2,,not defined in the study's own text,,
RBS,GSE12408,2,,not defined in the study's own text,,
MSS,GSE35566,2,microsatellite stable,defined in the study and MeSH has no term for it,,
HIV-1,GSE71290,2,,not defined in the study's own text,,
AAP.T,GSE68801,2,,not defined in the study's own text,,
NS,GSE130928,2,,not defined in the study's own text,,
CRC-B,GSE10714,2,,not defined in the study's own text,,
MB_GRP4,GSE99961,2,,not defined in the study's own text,,
PML,GSE57194,2,,not defined in the study's own text,,
RB-ILD,GSE21369,2,,not defined in the study's own text,,
COP,GSE21369,2,,not defined in the study's own text,,
EMZL,GSE65135,2,extranodal marginal zone lymphoma,defined in the study and MeSH has no term for it,,
LPS,GSE16650,2,lipopolysaccharide,defined in the study but MeSH holds it outside the branch,D008070,Lipopolysaccharides
ALCL,GSE146389,2,,not defined in the study's own text,,
ATL,GSE17718,2,,not defined in the study's own text,,
HCMV,GSE73954,2,,not defined in the study's own text,,
CUP,GSE131027,2,,not defined in the study's own text,,
HIV-1,GSE30536,2,,not defined in the study's own text,,
INFECTED,GSE2600,2,,not defined in the study's own text,,
AWS,GSE28607,2,,not defined in the study's own text,,
PBD-ZSD,GSE69066,2,,not defined in the study's own text,,
CLL,GSE58613,2,,not defined in the study's own text,,
MPGN-I,GSE14795,2,membrano proliferative glomerulonephritis type I,defined in the study and MeSH has no term for it,,
FPAH,GSE117261,2,,not defined in the study's own text,,
NDA,GSE58867,2,,not defined in the study's own text,,
RCMD,GSE60649,2,,not defined in the study's own text,,
FOP,GSE69459,2,,not defined in the study's own text,,
DRESS,GSE12829,2,,not defined in the study's own text,,
MFH,GSE35852,2,,not defined in the study's own text,,
PEL,GSE1880,2,,not defined in the study's own text,,
RCMD,GSE77750,1,,not defined in the study's own text,,
MECP2-/-,GSE92466,1,,not defined in the study's own text,,
MECP2Y/-,GSE92466,1,,not defined in the study's own text,,
DENV-3,GSE131818,1,,not defined in the study's own text,,
C_SpA,GSE133210,1,,not defined in the study's own text,,
hESC,GSE68035,1,,not defined in the study's own text,,
BCR-ABL1,GSE45452,1,,not defined in the study's own text,,
TGF-b,GSE92297,1,,not defined in the study's own text,,
ALCL,GSE107397,1,,not defined in the study's own text,,
SIV,GSE39968,1,,not defined in the study's own text,,
SUDHL10,GSE120316,1,,not defined in the study's own text,,
MDA-MB-231,GSE74539,1,,not defined in the study's own text,,
PDDNOS,GSE111175,1,,not defined in the study's own text,,
DMPM,GSE112154,1,Diffuse malignant peritoneal mesothelioma,defined in the study and MeSH has no term for it,,
HPV16,GSE75987,1,,not defined in the study's own text,,
pEMT-S,GSE74580,1,,not defined in the study's own text,,
HC,GSE72375,1,,not defined in the study's own text,,
UREMIC,GSE62928,1,uremic patients without history of PD or EPS,defined in the study and MeSH has no term for it,,
TCF3-PBX1,GSE69229,1,,not defined in the study's own text,,
HGD/Ca,GSE89181,1,,not defined in the study's own text,,
HC,GSE60753,1,,not defined in the study's own text,,
NR,GSE192444,1,,not defined in the study's own text,,
NS,GSE103174,1,,not defined in the study's own text,,
TRG3,GSE93375,1,,not defined in the study's own text,,
CTRL,GSE113834,1,,not defined in the study's own text,,
BRAF_INH,GSE57979,1,,not defined in the study's own text,,
RA-FLSs,GSE99681,1,rheumatoid arthritis fibroblast-like synoviocytes,defined in the study and MeSH has no term for it,,
LPS,GSE198326,1,lipopolysaccharide,defined in the study but MeSH holds it outside the branch,D008070,Lipopolysaccharides
AML-M0,GSE143232,1,,not defined in the study's own text,,
CML-BC,GSE143232,1,,not defined in the study's own text,,
HCT116,GSE100511,1,,not defined in the study's own text,,
EAE,GSE54363,1,,not defined in the study's own text,,
MOLM14,GSE181792,1,,not defined in the study's own text,,
MDA-MB-231,GSE163046,1,,not defined in the study's own text,,
SETD2-KD,GSE89214,1,,not defined in the study's own text,,
PBRM1-KD,GSE89214,1,,not defined in the study's own text,,
NTC.01,GSE129978,1,,not defined in the study's own text,,
FGGS,GSE180393,1,,not defined in the study's own text,,
LN-WHO-V,GSE180393,1,,not defined in the study's own text,,
MCD,GSE180394,1,,not defined in the study's own text,,
XDP,GSE3064,1,,not defined in the study's own text,,
PANC-1,GSE115516,1,,not defined in the study's own text,,
LPS,GSE85333,1,,not defined in the study's own text,,
NORM_5,GSE109960,1,,not defined in the study's own text,,
LA-MPE,GSE122427,1,lung adenocarcinoma-associated malignant pleural effusion,defined in the study and MeSH has no term for it,,
MAPT,GSE195872,1,,not defined in the study's own text,,
GRN,GSE195872,1,,not defined in the study's own text,,
MCF7,GSE119276,1,,not defined in the study's own text,,
DHT,GSE125338,1,dihydrotestosterone,defined in the study but MeSH holds it outside the branch,D013196,Dihydrotestosterone
IC,GSE347,1,,not defined in the study's own text,,
cT2N2M0,GSE222073,1,,not defined in the study's own text,,
CT3bN0M0,GSE222073,1,,not defined in the study's own text,,
cT2N1M0,GSE222073,1,,not defined in the study's own text,,
cT1N0M1,GSE222073,1,,not defined in the study's own text,,
pT1N2M0,GSE222073,1,,not defined in the study's own text,,
cT2N3M1,GSE222073,1,,not defined in the study's own text,,
pT2N2M0,GSE222073,1,,not defined in the study's own text,,
cT2N2M1,GSE222073,1,,not defined in the study's own text,,
cT1N0M0,GSE222073,1,,not defined in the study's own text,,
cT3N0M1,GSE222073,1,,not defined in the study's own text,,
cT0N0M1,GSE222073,1,,not defined in the study's own text,,
cT4N2M0,GSE222073,1,,not defined in the study's own text,,
cT4N0M0,GSE222073,1,,not defined in the study's own text,,
OxPAPC,GSE20060,1,,not defined in the study's own text,,
BRCA1+/+,GSE25835,1,,not defined in the study's own text,,
JMML,GSE42731,1,,not defined in the study's own text,,
LGG,GSE43107,1,,not defined in the study's own text,,
sALS,GSE56500,1,,not defined in the study's own text,,
DM1,GSE22498,1,,not defined in the study's own text,,
NS,GSE43079,1,,not defined in the study's own text,,
gCJD,GSE30643,1,,not defined in the study's own text,,
NOT-ICC,GSE77839,1,,not defined in the study's own text,,
HNC,GSE90149,1,,not defined in the study's own text,,
LMM,GSE15605,1,,not defined in the study's own text,,
CSE,GSE27973,1,cigarette smoke extract,defined in the study and MeSH has no term for it,,
OPM1,GSE13662,1,,not defined in the study's own text,,
BRAFV600E,GSE13827,1,,not defined in the study's own text,,
III-IV,GSE62873,1,,not defined in the study's own text,,
HCT116,GSE211027,1,,not defined in the study's own text,,
LPR,GSE66426,1,,not defined in the study's own text,,
CTR,GSE14566,1,,not defined in the study's own text,,
ATRT_MYC,GSE99961,1,,not defined in the study's own text,,
MB_WNT,GSE99961,1,,not defined in the study's own text,,
MB_SHH,GSE99961,1,,not defined in the study's own text,,
HP,GSE21369,1,,not defined in the study's own text,,
HPS-1,GSE83920,1,,not defined in the study's own text,,
TNF-α,GSE16650,1,,not defined in the study's own text,,
GBM/AA,GSE43115,1,,not defined in the study's own text,,
MDA-MB-231,GSE39718,1,,not defined in the study's own text,,
CTEPH,GSE130391,1,,not defined in the study's own text,,
DLBCL-C,GSE10846,1,,not defined in the study's own text,,
DLBCL-B,GSE10846,1,,not defined in the study's own text,,
DLBCL-A,GSE10846,1,,not defined in the study's own text,,
POLG1,GSE18715,1,,not defined in the study's own text,,
POLG2,GSE18715,1,,not defined in the study's own text,,
POLG3,GSE18715,1,,not defined in the study's own text,,
POLG6,GSE18715,1,,not defined in the study's own text,,
PDAC,GSE14509,1,,not defined in the study's own text,,
MDA-MB231,GSE28049,1,,not defined in the study's own text,,
CTR,GSE54284,1,,not defined in the study's own text,,
TBI,GSE58613,1,,not defined in the study's own text,,
MAL,GSE58613,1,,not defined in the study's own text,,
NDB,GSE58867,1,,not defined in the study's own text,,
LPS,GSE18794,1,,not defined in the study's own text,,
LiM2,GSE142219,1,,not defined in the study's own text,,
MC,GSE40292,1,,not defined in the study's own text,,
TCMR_DSA-,GSE93658,1,,not defined in the study's own text,,
T21/GATA1s,GSE36787,1,,not defined in the study's own text,,
ADH,GSE118432,1,,not defined in the study's own text,,
LNG-IUD,GSE137765,1,levonorgestrel-intrauterine device users,defined in the study and MeSH has no term for it,,
BCBL-1,GSE17180,1,,not defined in the study's own text,,
RAEB-1,GSE60649,1,,not defined in the study's own text,,
RCMD-RS,GSE60649,1,,not defined in the study's own text,,
RA,GSE60649,1,,not defined in the study's own text,,
CVB3,GSE697,1,,not defined in the study's own text,,
UTI,GSE11907,1,,not defined in the study's own text,,
PSC-UC,GSE11907,1,,not defined in the study's own text,,
ATL-40,GSE1466,1,,not defined in the study's own text,,
ATL-43,GSE1466,1,,not defined in the study's own text,,
ATL-45,GSE1466,1,,not defined in the study's own text,,
ATL-48,GSE1466,1,,not defined in the study's own text,,
ATL-70,GSE1466,1,,not defined in the study's own text,,
